algorithm,accuracy,precision,recall,f1,auc
SEVQ,0.8641509433962264,0.8780606550466241,0.8641509433962264,0.8642729196181238,0.8418771384725279
OB,0.8372737824012381,0.8498866795024264,0.8372737824012381,0.8378560023554495,0.7708333333333334
KNNI,0.8320393374741202,0.8435024963988378,0.8320393374741202,0.8308455220283132,0.7639945063942988
EVQ,0.8316389402341343,0.8476825146819607,0.8316389402341343,0.8267008856682769,0.7870370370370371
SFAM,0.8171990171990172,0.8505719770425653,0.8171990171990172,0.8135857806910438,0.8046114972505182
ARF,0.8,0.7918058608058607,0.8,0.7787140851035375,0.7783978174603174
HAT,0.8,0.8054152727491573,0.8,0.7888833249554352,0.8192192320885221
LVQ2,0.8,0.8040136783607899,0.8,0.7948810146697673,0.7638015329244701
LVQ2.1,0.8,0.8021991776650039,0.8,0.7923682670474715,0.75
HT,0.7992606284658041,0.8029208515339976,0.7992606284658041,0.7851055991893745,0.8089173280423281
NB,0.7989113530326595,0.8177421956925062,0.7989113530326595,0.7902202930943715,0.8154960047969386
LVQ,0.7880639730639731,0.7956810925742719,0.7880639730639731,0.777661338562859,0.7577150448707708
EFDT,0.780275624461671,0.7965848429964659,0.780275624461671,0.7685464088664968,0.7575634568228511
AEE,0.7735507246376812,0.7963678260275477,0.7735507246376812,0.7597167767382232,0.7777116402116402
DWM,0.74,0.7801460319436694,0.74,0.7460149128622431,0.7433987470472814
LVQ3,0.7060998151571165,0.7018518518518518,0.7060998151571165,0.6624114042269487,0.6304154995331466
