,Dataset,Records,Attributes,Classes,Imbalance Score
1,shuttle,57999,9,7,0.1143
2,ring,7400,20,2,0.9807
3,heart,270,13,2,0.8000
4,optdigits,5620,64,10,0.9858
5,thyroid,7200,21,3,0.1771
6,spambase,4597,57,2,0.6506
7,hepatitis,80,19,2,0.1940
8,vowel,990,13,11,1.0000
9,titanic,2201,3,4,0.5380
10,zoo,101,16,7,0.4364
11,appendicitis,106,7,2,0.2471
12,texture,5500,40,11,1.0000
13,segment,2310,19,7,1.0000
14,twonorm,7400,20,2,0.9984
15,australian,690,14,2,0.8016
16,phoneme,5404,5,2,0.4154
17,wine,178,13,3,0.7735
18,newthyroid,215,5,3,0.4302
19,mammographic,830,5,2,0.9438
20,movement_libras,360,90,15,1.0000
21,dermatology,358,34,6,0.5647
22,led7digit,500,7,10,0.8739
23,wisconsin,683,9,2,0.5383
24,spectfheart,267,44,2,0.2594
25,hayes-roth,160,4,3,0.6486
26,cleveland,297,13,5,0.4136
27,banana,5300,2,2,0.8126
28,satimage,6435,36,6,0.6479
29,tae,151,5,3,0.9613
30,contraceptive,1473,9,3,0.6645
31,marketing,6876,13,9,0.7003
32,monk-2,432,6,2,0.8947
33,glass,214,9,6,0.4079
34,bupa,345,6,2,0.7250
35,coil2000,9822,85,2,0.0634
36,page-blocks,5472,10,5,0.2135
