,SEVQ,Algorithm,p-value
1,SEVQ,AEE,0.001284156469036556
2,SEVQ,ARF,0.00011950572644604694
3,SEVQ,DWM,1.889317299783219e-06
4,SEVQ,EFDT,3.2922252743442075e-05
5,SEVQ,EVQ,0.02092249043362662
6,SEVQ,HAT,0.05865045519785812
7,SEVQ,HT,0.011971378044114625
8,SEVQ,KNNI,0.00026640680689995756
9,SEVQ,LVQ,7.376504958330956e-13
10,SEVQ,LVQ2,8.720428017556815e-09
11,SEVQ,LVQ2.1,5.154018617520727e-14
12,SEVQ,LVQ3,4.220268981396906e-28
13,SEVQ,NB,0.5311070046922999
14,SEVQ,OB,0.0025124768870089602
15,SEVQ,SFAM,1.781764837264927e-05
